sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[ 138s] threads: 1, tps: 52.00, reads: 716.02, writes: 0.00, response time: 21.96ms (95%), errors: 0.00, reconnects:  0.00
[ 139s] threads: 1, tps: 50.00, reads: 708.99, writes: 0.00, response time: 21.31ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 49.00, reads: 689.03, writes: 0.00, response time: 21.96ms (95%), errors: 0.00, reconnects:  0.00
[ 141s] threads: 1, tps: 53.00, reads: 729.96, writes: 0.00, response time: 20.88ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 1, tps: 49.00, reads: 696.03, writes: 0.00, response time: 21.73ms (95%), errors: 0.00, reconnects:  0.00
[ 143s] threads: 1, tps: 51.99, reads: 721.92, writes: 0.00, response time: 21.19ms (95%), errors: 0.00, reconnects:  0.00
[ 144s] threads: 1, tps: 49.01, reads: 688.10, writes: 0.00, response time: 21.33ms (95%), errors: 0.00, reconnects:  0.00
[ 145s] threads: 1, tps: 50.00, reads: 698.96, writes: 0.00, response time: 21.92ms (95%), errors: 0.00, reconnects:  0.00
[ 146s] threads: 1, tps: 51.00, reads: 708.02, writes: 0.00, response time: 21.19ms (95%), errors: 0.00, reconnects:  0.00
[ 147s] threads: 1, tps: 51.00, reads: 716.97, writes: 0.00, response time: 21.34ms (95%), errors: 0.00, reconnects:  0.00
[ 148s] threads: 1, tps: 50.00, reads: 710.05, writes: 0.00, response time: 22.99ms (95%), errors: 0.00, reconnects:  0.00
[ 149s] threads: 1, tps: 50.00, reads: 696.96, writes: 0.00, response time: 22.91ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1, tps: 51.00, reads: 707.01, writes: 0.00, response time: 21.79ms (95%), errors: 0.00, reconnects:  0.00
[ 151s] threads: 1, tps: 50.00, reads: 706.93, writes: 0.00, response time: 21.96ms (95%), errors: 0.00, reconnects:  0.00
[ 152s] threads: 1, tps: 51.01, reads: 714.09, writes: 0.00, response time: 21.40ms (95%), errors: 0.00, reconnects:  0.00
[ 153s] threads: 1, tps: 50.00, reads: 699.96, writes: 0.00, response time: 22.57ms (95%), errors: 0.00, reconnects:  0.00
[ 154s] threads: 1, tps: 51.00, reads: 705.02, writes: 0.00, response time: 21.59ms (95%), errors: 0.00, reconnects:  0.00
[ 155s] threads: 1, tps: 50.00, reads: 698.98, writes: 0.00, response time: 21.90ms (95%), errors: 0.00, reconnects:  0.00
[ 156s] threads: 1, tps: 49.00, reads: 697.04, writes: 0.00, response time: 21.73ms (95%), errors: 0.00, reconnects:  0.00
[ 157s] threads: 1, tps: 51.00, reads: 703.96, writes: 0.00, response time: 21.99ms (95%), errors: 0.00, reconnects:  0.00
[ 158s] threads: 1, tps: 49.00, reads: 696.01, writes: 0.00, response time: 22.67ms (95%), errors: 0.00, reconnects:  0.00
[ 159s] threads: 1, tps: 50.00, reads: 699.98, writes: 0.00, response time: 22.04ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1, tps: 51.00, reads: 714.06, writes: 0.00, response time: 21.55ms (95%), errors: 0.00, reconnects:  0.00
[ 161s] threads: 1, tps: 52.00, reads: 720.96, writes: 0.00, response time: 21.06ms (95%), errors: 0.00, reconnects:  0.00
[ 162s] threads: 1, tps: 51.00, reads: 721.01, writes: 0.00, response time: 20.97ms (95%), errors: 0.00, reconnects:  0.00
[ 163s] threads: 1, tps: 52.00, reads: 719.94, writes: 0.00, response time: 22.20ms (95%), errors: 0.00, reconnects:  0.00
[ 164s] threads: 1, tps: 50.01, reads: 710.09, writes: 0.00, response time: 21.88ms (95%), errors: 0.00, reconnects:  0.00
[ 165s] threads: 1, tps: 51.00, reads: 710.96, writes: 0.00, response time: 21.53ms (95%), errors: 0.00, reconnects:  0.00
[ 166s] threads: 1, tps: 51.00, reads: 706.02, writes: 0.00, response time: 21.39ms (95%), errors: 0.00, reconnects:  0.00
[ 167s] threads: 1, tps: 50.00, reads: 702.93, writes: 0.00, response time: 22.42ms (95%), errors: 0.00, reconnects:  0.00
[ 168s] threads: 1, tps: 51.01, reads: 711.09, writes: 0.00, response time: 22.21ms (95%), errors: 0.00, reconnects:  0.00
[ 169s] threads: 1, tps: 50.00, reads: 707.95, writes: 0.00, response time: 22.21ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1, tps: 49.00, reads: 682.02, writes: 0.00, response time: 22.03ms (95%), errors: 0.00, reconnects:  0.00
[ 171s] threads: 1, tps: 50.00, reads: 698.97, writes: 0.00, response time: 21.81ms (95%), errors: 0.00, reconnects:  0.00
[ 172s] threads: 1, tps: 51.00, reads: 711.05, writes: 0.00, response time: 21.49ms (95%), errors: 0.00, reconnects:  0.00
[ 173s] threads: 1, tps: 50.00, reads: 704.96, writes: 0.00, response time: 23.57ms (95%), errors: 0.00, reconnects:  0.00
[ 174s] threads: 1, tps: 50.00, reads: 704.02, writes: 0.00, response time: 22.85ms (95%), errors: 0.00, reconnects:  0.00
[ 175s] threads: 1, tps: 49.00, reads: 684.97, writes: 0.00, response time: 22.48ms (95%), errors: 0.00, reconnects:  0.00
[ 176s] threads: 1, tps: 52.00, reads: 719.05, writes: 0.00, response time: 21.17ms (95%), errors: 0.00, reconnects:  0.00
[ 177s] threads: 1, tps: 49.00, reads: 695.96, writes: 0.00, response time: 22.38ms (95%), errors: 0.00, reconnects:  0.00
[ 178s] threads: 1, tps: 51.00, reads: 710.02, writes: 0.00, response time: 21.60ms (95%), errors: 0.00, reconnects:  0.00
[ 179s] threads: 1, tps: 51.00, reads: 711.93, writes: 0.00, response time: 21.60ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1, tps: 49.01, reads: 694.08, writes: 0.00, response time: 22.03ms (95%), errors: 0.00, reconnects:  0.00
[ 181s] threads: 1, tps: 55.00, reads: 766.95, writes: 0.00, response time: 20.12ms (95%), errors: 0.00, reconnects:  0.00
[ 182s] threads: 1, tps: 50.00, reads: 701.02, writes: 0.00, response time: 21.97ms (95%), errors: 0.00, reconnects:  0.00
[ 183s] threads: 1, tps: 50.00, reads: 699.98, writes: 0.00, response time: 23.20ms (95%), errors: 0.00, reconnects:  0.00
[ 184s] threads: 1, tps: 51.00, reads: 713.05, writes: 0.00, response time: 22.49ms (95%), errors: 0.00, reconnects:  0.00
[ 185s] threads: 1, tps: 51.00, reads: 714.96, writes: 0.00, response time: 21.33ms (95%), errors: 0.00, reconnects:  0.00
[ 186s] threads: 1, tps: 50.00, reads: 702.02, writes: 0.00, response time: 21.89ms (95%), errors: 0.00, reconnects:  0.00
[ 187s] threads: 1, tps: 50.00, reads: 691.93, writes: 0.00, response time: 22.39ms (95%), errors: 0.00, reconnects:  0.00
