sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[ 129s] threads: 1, tps: 284.00, reads: 3983.99, writes: 0.00, response time: 3.82ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 279.00, reads: 3910.00, writes: 0.00, response time: 3.95ms (95%), errors: 0.00, reconnects:  0.00
[ 131s] threads: 1, tps: 284.00, reads: 3963.07, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 1, tps: 279.00, reads: 3916.95, writes: 0.00, response time: 4.04ms (95%), errors: 0.00, reconnects:  0.00
[ 133s] threads: 1, tps: 275.96, reads: 3862.43, writes: 0.00, response time: 4.18ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 1, tps: 283.04, reads: 3955.55, writes: 0.00, response time: 3.90ms (95%), errors: 0.00, reconnects:  0.00
[ 135s] threads: 1, tps: 283.00, reads: 3959.03, writes: 0.00, response time: 4.09ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 1, tps: 277.00, reads: 3889.97, writes: 0.00, response time: 3.81ms (95%), errors: 0.00, reconnects:  0.00
[ 137s] threads: 1, tps: 279.96, reads: 3915.48, writes: 0.00, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 1, tps: 289.04, reads: 4049.58, writes: 0.00, response time: 3.98ms (95%), errors: 0.00, reconnects:  0.00
[ 139s] threads: 1, tps: 264.00, reads: 3699.04, writes: 0.00, response time: 4.19ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 284.99, reads: 3976.92, writes: 0.00, response time: 3.96ms (95%), errors: 0.00, reconnects:  0.00
[ 141s] threads: 1, tps: 291.96, reads: 4093.48, writes: 0.00, response time: 3.63ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 1, tps: 288.04, reads: 4039.53, writes: 0.00, response time: 3.71ms (95%), errors: 0.00, reconnects:  0.00
